time, event, related key, current phrase, current input
19179, Key Deselected, O, never too rich and never too thin, never to
19195, Key Deselected, O, never too rich and never too thin, never to
19212, Key Deselected, O, never too rich and never too thin, never to
19229, Key Deselected, O, never too rich and never too thin, never to
19231, Key Selected, K, never too rich and never too thin, never to
19263, Key Deselected, K, never too rich and never too thin, never to
19265, Key Selected, O, never too rich and never too thin, never to
19829, Key Press, O, never too rich and never too thin, never to
20031, Pause Ended, O, never too rich and never too thin, never too
20048, Key Selected, O, never too rich and never too thin, never too
20097, Key Deselected, O, never too rich and never too thin, never too
20115, Key Deselected, O, never too rich and never too thin, never too
20131, Key Deselected, O, never too rich and never too thin, never too
20148, Key Deselected, O, never too rich and never too thin, never too
20162, Key Deselected, O, never too rich and never too thin, never too
20178, Key Deselected, O, never too rich and never too thin, never too
20195, Key Deselected, O, never too rich and never too thin, never too
20213, Key Deselected, O, never too rich and never too thin, never too
20229, Key Deselected, O, never too rich and never too thin, never too
20246, Key Deselected, O, never too rich and never too thin, never too
20262, Key Deselected, O, never too rich and never too thin, never too
20279, Key Deselected, O, never too rich and never too thin, never too
20296, Key Deselected, O, never too rich and never too thin, never too
20313, Key Deselected, O, never too rich and never too thin, never too
20329, Key Deselected, O, never too rich and never too thin, never too
20346, Key Deselected, O, never too rich and never too thin, never too
20362, Key Deselected, O, never too rich and never too thin, never too
20379, Key Deselected, O, never too rich and never too thin, never too
20395, Key Deselected, O, never too rich and never too thin, never too
20412, Key Deselected, O, never too rich and never too thin, never too
20429, Key Deselected, O, never too rich and never too thin, never too
20446, Key Deselected, O, never too rich and never too thin, never too
20462, Key Deselected, O, never too rich and never too thin, never too
20479, Key Deselected, O, never too rich and never too thin, never too
20495, Key Deselected, O, never too rich and never too thin, never too
20511, Key Deselected, O, never too rich and never too thin, never too
20527, Key Deselected, O, never too rich and never too thin, never too
20544, Key Deselected, O, never too rich and never too thin, never too
20560, Key Deselected, O, never too rich and never too thin, never too
20577, Key Deselected, O, never too rich and never too thin, never too
20594, Key Deselected, O, never too rich and never too thin, never too
20611, Key Deselected, O, never too rich and never too thin, never too
20628, Key Deselected, O, never too rich and never too thin, never too
20646, Key Deselected, O, never too rich and never too thin, never too
20648, Key Selected, N, never too rich and never too thin, never too
20662, Key Deselected, N, never too rich and never too thin, never too
20664, Key Selected, B, never too rich and never too thin, never too
20764, Key Deselected, B, never too rich and never too thin, never too
20768, Key Selected, N, never too rich and never too thin, never too
20782, Key Deselected, N, never too rich and never too thin, never too
20785, Key Selected, M, never too rich and never too thin, never too
20798, Key Deselected, M, never too rich and never too thin, never too
