, gaze point, , gaze point validity, , pupil size, , pupil validity
time, X, Y, L, R, L, R, L, R
9911, nan, nan, 0, 0, nan, nan, 0, 0
9926, nan, nan, 0, 0, nan, nan, 0, 0
9942, nan, nan, 0, 0, nan, nan, 0, 0
9958, nan, nan, 0, 0, nan, nan, 0, 0
9973, nan, nan, 0, 0, nan, nan, 0, 0
9989, nan, nan, 0, 0, nan, nan, 0, 0
10004, nan, nan, 0, 0, nan, nan, 0, 0
10020, nan, nan, 0, 0, nan, nan, 0, 0
10036, nan, nan, 0, 0, nan, nan, 0, 0
10051, nan, nan, 0, 0, nan, nan, 0, 0
10083, nan, nan, 0, 0, nan, nan, 0, 0
10098, nan, nan, 0, 0, nan, nan, 0, 0
10114, nan, nan, 0, 0, nan, nan, 0, 0
10129, nan, nan, 0, 0, nan, nan, 0, 0
10145, nan, nan, 0, 0, nan, nan, 0, 0
10161, nan, nan, 0, 0, nan, nan, 0, 0
10176, nan, nan, 0, 0, nan, nan, 0, 0
10192, nan, nan, 0, 0, nan, nan, 0, 0
10208, nan, nan, 0, 0, nan, nan, 0, 0
10223, nan, nan, 0, 0, nan, nan, 0, 0
10239, nan, nan, 0, 0, nan, nan, 0, 0
10254, nan, nan, 0, 0, nan, nan, 0, 0
10270, nan, nan, 0, 0, nan, nan, 0, 0
10286, nan, nan, 0, 0, nan, nan, 0, 0
10317, nan, nan, 0, 0, nan, nan, 0, 0
10333, nan, nan, 0, 0, nan, nan, 0, 0
10348, nan, nan, 0, 0, nan, nan, 0, 0
10364, nan, nan, 0, 0, nan, nan, 0, 0
10379, nan, nan, 0, 0, nan, nan, 0, 0
10395, nan, nan, 0, 0, nan, nan, 0, 0
10411, nan, nan, 0, 0, nan, nan, 0, 0
10426, nan, nan, 0, 0, nan, nan, 0, 0
10442, nan, nan, 0, 0, nan, nan, 0, 0
10458, nan, nan, 0, 0, nan, nan, 0, 0
10473, nan, nan, 0, 0, nan, nan, 0, 0
10489, nan, nan, 0, 0, nan, nan, 0, 0
10504, nan, nan, 0, 0, nan, nan, 0, 0
10520, nan, nan, 0, 0, nan, nan, 0, 0
10536, nan, nan, 0, 0, nan, nan, 0, 0
10551, nan, nan, 0, 0, nan, nan, 0, 0
10583, nan, nan, 0, 0, nan, nan, 0, 0
10598, nan, nan, 0, 0, nan, nan, 0, 0
10614, nan, nan, 0, 0, nan, nan, 0, 0
10629, nan, nan, 0, 0, nan, nan, 0, 0
10645, nan, nan, 0, 0, nan, nan, 0, 0
10661, nan, nan, 0, 0, nan, nan, 0, 0
10676, nan, nan, 0, 0, nan, nan, 0, 0
10692, nan, nan, 0, 0, nan, nan, 0, 0
10708, nan, nan, 0, 0, nan, nan, 0, 0
10723, nan, nan, 0, 0, nan, nan, 0, 0
10739, nan, nan, 0, 0, nan, nan, 0, 0
10754, nan, nan, 0, 0, nan, nan, 0, 0
10770, nan, nan, 0, 0, nan, nan, 0, 0
10786, nan, nan, 0, 0, nan, nan, 0, 0
10817, nan, nan, 0, 0, nan, nan, 0, 0
10833, nan, nan, 0, 0, nan, nan, 0, 0
10848, nan, nan, 0, 0, nan, nan, 0, 0
